100
33 105
16 49 48
29 37 4
49 28 22
51 47 48
31 44 48
27 38 48
45 19 43
35 10 4
9 51 48
27 55 22
34 1 48
17 12 43
8 24 48
20 15 48
38 52 48
14 2 48
41 48 48
28 52 22
15 22 22
8 36 48
17 39
9 2 1
2 7 8
6 5 5
8 11 8
6 7 1
8 2 8
15 7 1
17 12 15
11 13 5
12 15 1
13 2 5
12 1 1
7 9 1
1 4 1
15 10 1
14 5 5
11 17 1
5 10 5
10 17 1
7 13 5
2 10 8
17 13 5
3 13 3
5 3 5
3 1 5
6 10 1
4 12 1
15 2 10
8 9 1
15 11 1
6 2 1
13 6 5
14 11 8
17 8 1
2 15 1
15 10 1
8 3 5
17 1 1
14 11 8
49 40
5 4 31
22 18 17
9 17 31
31 25 31
22 29 31
33 24 1
49 26 31
5 15 31
32 46 39
22 33 31
34 40 44
36 22 31
29 45 44
22 7 38
44 31 31
27 15 1
48 10 31
9 18 44
35 39 44
27 29 44
46 7 31
33 6 1
49 6 31
37 44 44
5 38 38
48 45 31
9 31 31
33 16 31
21 12 44
2 24 14
13 2 31
11 44 44
29 45 44
12 40 1
21 2 44
12 34 38
16 13 38
27 31 31
49 38 31
26 23 31
45 91
45 31 31
42 4 31
7 38 5
44 9 31
9 32 20
12 37 31
37 44 31
25 11 31
7 43 31
25 2 31
20 43 31
13 38 5
40 23 5
12 36 5
32 11 31
39 28 5
38 41 5
24 39 31
30 12 31
44 6 31
43 3 31
36 35 5
29 28 5
24 39 31
42 1 42
14 12 31
1 37 31
5 22 5
22 31 31
11 38 5
5 41 5
40 30 5
17 14 31
11 23 31
16 22 20
35 26 5
25 13 21
27 37 5
7 14 31
35 45 31
45 43 31
13 8 31
2 41 31
43 38 5
37 3 31
7 23 31
6 43 31
27 41 5
19 37 20
14 31 31
14 27 5
39 18 31
9 43 31
13 38 5
40 34 5
16 22 20
10 20 20
37 33 31
19 39 31
33 28 5
21 41 31
30 21 31
29 7 31
7 12 42
22 23 31
35 21 31
22 9 22
2 41 31
30 9 31
45 20 31
22 13 31
9 15 5
40 9 5
19 33 31
3 13 31
39 14 30
24 9 20
30 45 31
29 38 5
4 40 5
30 22 31
9 40 5
13 21 21
4 15 5
22 41 31
12 2 31
45 25 21
10 33 31
21 30 31
20 38 5
12 11 31
13 70
12 5 12
9 11 11
2 3 3
12 11 12
3 2 3
1 11 11
4 1 12
4 8 4
6 10 3
6 8 6
10 8 3
1 9 1
9 5 12
5 11 12
3 5 3
9 4 12
5 9 12
4 12 12
5 10 3
11 13 12
11 5 12
13 12 12
8 2 3
4 7 4
9 8 12
8 4 4
13 7 3
12 5 12
8 6 6
9 8 12
4 10 4
9 6 12
3 10 3
13 4 4
4 9 12
11 8 12
10 9 12
5 3 3
4 1 12
5 10 3
11 9 11
9 5 12
2 10 10
2 11 12
6 5 5
3 7 3
4 1 12
3 6 3
1 3 12
5 9 12
1 7 12
6 9 12
6 13 3
6 11 12
4 10 4
1 13 12
7 13 3
5 4 4
11 1 11
3 2 3
9 13 12
11 5 12
11 9 11
2 10 10
3 6 3
4 9 12
1 2 12
6 4 4
12 4 12
1 6 12
60 120
6 41 55
57 12 11
33 17 32
49 35 32
31 59 32
12 19 32
21 30 32
6 24 32
16 46 48
3 16 32
60 43 32
58 2 32
4 56 11
20 9 9
24 27 48
33 47 32
37 21 48
18 45 32
1 12 32
17 11 32
55 50 32
43 38 32
59 5 32
60 31 32
39 19 32
9 31 32
46 21 48
41 14 32
33 57 9
37 30 32
16 45 53
39 55 11
57 20 11
38 43 32
56 39 11
58 60 32
20 23 32
7 32 32
11 53 32
50 60 32
27 4 32
47 25 32
46 14 48
36 20 32
6 38 55
11 8 9
43 57 32
51 17 32
44 3 9
43 60 32
34 53 53
33 31 32
19 18 32
39 23 32
12 35 11
25 14 32
39 13 11
5 32 32
29 40 40
60 32 32
21 47 53
19 18 32
58 20 32
27 12 32
60 38 9
36 19 48
19 46 48
15 36 48
41 16 32
47 40 53
12 18 11
47 46 48
26 25 32
30 26 32
35 5 32
17 38 32
57 35 35
8 50 32
55 58 32
28 33 32
41 16 32
53 27 48
33 39 9
25 2 9
25 11 9
4 31 32
34 52 48
22 60 9
58 5 32
27 9 32
46 54 32
9 57 9
40 51 48
24 8 32
2 19 32
41 11 11
40 54 32
43 1 53
45 44 32
48 50 48
7 48 32
20 35 11
38 13 55
20 7 11
20 13 11
9 50 32
19 34 48
58 46 32
29 47 53
44 59 9
51 25 32
45 56 32
38 39 11
24 32 32
44 28 32
51 60 32
15 30 32
57 13 55
44 26 32
47 4 32
15 96
14 1 1
14 4 1
2 12 2
9 2 11
11 9 11
15 13 11
10 12 2
5 14 2
14 10 1
5 2 2
9 5 11
14 15 2
4 6 2
2 8 2
4 10 1
7 14 11
13 14 11
1 11 11
2 14 2
5 4 2
10 12 2
12 9 11
2 10 2
10 15 2
4 13 11
8 10 10
8 10 10
3 2 11
13 10 11
3 6 11
3 5 11
2 12 2
9 3 11
5 9 11
7 15 11
6 9 11
2 5 2
7 8 11
11 13 11
13 7 11
15 1 2
15 3 11
7 14 11
1 10 1
12 14 2
15 4 2
13 5 11
10 9 11
8 7 11
15 14 2
7 15 11
3 7 11
3 13 11
13 3 11
3 9 11
9 11 11
10 13 11
6 15 15
4 13 11
5 11 11
15 4 2
13 12 11
3 2 11
6 4 2
8 12 2
1 6 2
6 4 2
5 1 2
1 15 2
6 1 2
9 11 11
13 14 11
15 3 11
1 6 2
11 10 11
8 12 2
9 11 11
7 15 11
7 3 11
13 15 11
11 14 11
11 15 11
2 9 11
2 3 11
7 15 11
13 1 11
10 5 2
11 14 11
4 2 2
13 10 11
13 14 11
2 15 2
6 8 2
6 8 2
1 14 1
6 3 11
58 67
31 26 40
34 24 57
52 37 47
56 55 40
44 47 47
21 20 57
27 47 57
10 17 17
44 19 40
35 26 40
43 33 33
6 21 15
5 28 57
24 29 40
26 7 40
8 25 47
57 15 57
55 41 40
14 4 57
40 14 40
56 33 40
49 28 57
39 8 47
25 8 47
53 30 57
38 25 47
58 37 47
7 55 11
33 46 33
53 47 57
20 11 57
45 1 57
49 22 38
43 50 2
21 49 57
8 55 40
9 32 47
9 47 47
33 36 40
50 18 40
38 56 57
15 17 15
15 38 9
4 19 40
32 44 47
41 27 40
51 9 57
2 15 40
18 25 47
21 54 57
44 26 40
57 4 57
57 13 40
44 41 40
12 8 47
32 1 47
33 55 33
10 5 57
44 11 57
39 9 39
57 47 57
48 10 57
8 19 40
10 34 5
3 56 57
57 7 12
44 41 40
60 120
19 48 32
46 37 46
17 29 38
5 54 38
50 54 38
6 21 56
57 31 46
17 50 38
15 31 32
12 50 56
19 59 38
19 23 46
9 20 49
17 54 38
14 16 56
53 35 26
33 44 38
21 60 56
50 58 38
19 9 32
3 5 46
31 3 32
58 10 46
36 6 56
38 57 38
5 12 38
29 40 56
2 58 46
48 42 60
59 8 36
15 4 38
16 28 38
30 3 38
59 43 38
32 11 38
37 14 38
29 31 38
33 26 26
43 1 46
40 27 56
46 53 38
51 7 38
16 52 38
42 34 46
58 49 15
45 44 44
39 11 56
42 15 32
47 55 38
56 47 56
41 44 38
21 4 38
33 16 56
4 39 38
59 33 56
39 59 56
25 38 38
58 16 38
32 54 38
54 10 38
7 6 56
6 58 38
2 49 46
25 10 46
56 36 56
13 48 38
28 52 45
6 3 18
44 10 46
48 45 15
38 48 38
31 40 38
58 14 38
2 36 38
18 24 32
18 58 15
24 5 46
22 46 38
44 10 46
39 58 31
48 35 38
15 6 38
59 51 38
60 24 38
35 5 38
52 16 38
31 57 46
5 47 38
50 36 14
41 29 38
39 43 38
54 15 38
47 56 56
48 22 38
59 43 38
6 50 56
44 9 44
46 16 38
13 57 38
12 51 38
57 41 38
3 15 15
43 29 18
9 1 15
19 4 44
30 34 38
19 27 48
11 10 38
22 36 14
58 43 46
6 55 38
26 43 38
18 45 15
46 37 46
47 20 38
22 5 38
6 34 52
38 21 38
22 42 38
42 40 38
11 76
9 2 10
1 2 8
7 5 8
6 4 4
6 4 4
6 1 6
7 9 10
7 6 8
10 5 10
3 4 4
1 5 4
3 11 6
5 7 8
4 10 10
10 8 10
1 2 8
11 5 4
6 1 6
4 7 8
9 10 10
2 11 8
1 9 10
10 9 10
5 2 8
5 3 4
1 4 4
3 1 6
7 1 8
4 7 8
1 2 8
8 6 8
2 4 8
7 6 8
8 9 10
4 11 4
3 9 10
2 7 7
8 5 8
2 11 8
11 9 10
4 5 4
10 9 10
8 4 8
9 1 10
11 3 6
5 6 4
2 7 7
6 2 8
3 8 8
11 9 10
7 5 8
1 7 8
7 3 8
7 2 7
4 11 4
1 3 6
5 10 10
11 9 10
7 2 7
10 1 10
11 10 10
11 5 4
4 11 4
10 7 10
3 11 6
6 8 8
10 6 10
4 1 4
7 4 8
3 7 8
8 11 8
9 8 10
3 6 6
10 2 10
6 1 6
3 6 6
60 120
12 15 3
4 26 58
17 24 3
56 40 12
47 22 3
60 57 3
23 45 3
60 4 58
37 28 52
60 52 52
47 5 3
44 10 52
45 22 3
18 21 3
46 18 3
49 40 52
43 19 19
3 14 3
34 56 48
59 8 48
9 17 3
11 39 3
10 12 3
39 6 3
50 24 58
18 54 3
39 54 3
13 5 5
12 37 3
48 32 3
58 60 58
54 51 58
13 5 5
54 36 48
48 20 48
15 29 52
12 46 3
44 48 48
6 52 52
16 6 52
7 11 3
43 10 48
14 55 14
11 36 3
7 8 48
32 23 3
45 36 3
57 55 3
56 44 48
21 16 58
57 32 3
37 23 52
40 27 3
28 20 52
55 29 3
33 52 52
28 24 58
25 38 48
2 45 3
14 55 14
52 42 52
12 3 3
4 22 3
3 47 3
16 25 48
14 22 9
39 9 30
35 17 3
20 9 3
30 11 3
51 23 51
7 60 58
37 35 29
31 39 3
42 17 3
32 25 3
46 58 3
22 54 3
25 3 3
8 17 3
9 3 3
40 32 3
7 59 58
30 20 52
40 50 52
28 35 52
2 25 48
38 47 3
60 49 58
35 41 29
31 48 48
6 12 3
54 40 52
41 33 52
59 28 58
33 47 3
15 13 52
43 14 3
58 34 58
20 37 52
56 33 48
30 37 52
20 48 48
60 34 58
24 13 52
25 34 48
38 59 48
41 11 3
40 22 3
50 47 3
57 43 39
43 16 48
34 60 58
19 56 19
50 31 52
21 57 3
33 57 3
11 58 3
6 31 29
11 32 3
46 86
19 5 27
46 34 37
4 41 37
25 42 27
10 15 27
28 24 37
9 20 27
5 6 37
2 28 27
38 6 27
28 39 27
15 7 37
25 22 25
23 21 27
32 41 27
33 2 10
36 1 37
23 9 27
15 19 27
12 40 37
35 33 10
12 20 37
30 32 27
2 40 27
24 38 27
10 15 27
36 32 27
23 29 27
34 2 27
39 1 27
9 4 27
45 18 10
34 23 27
20 4 37
29 39 27
43 42 27
9 38 27
43 12 27
17 40 37
31 22 27
8 42 27
18 17 27
21 27 27
44 39 27
33 35 10
27 41 27
38 10 27
2 19 27
22 23 27
14 46 37
8 31 27
41 43 27
32 16 27
33 9 10
15 26 27
14 22 27
30 5 27
38 9 27
5 40 37
31 33 27
41 17 37
9 12 27
33 9 10
22 31 27
27 14 27
30 46 27
21 14 37
25 8 27
30 29 10
9 38 27
4 21 37
20 38 27
43 24 27
7 27 27
41 37 37
10 11 27
30 14 27
11 35 27
2 40 27
3 33 27
20 16 27
3 21 27
29 41 27
8 11 27
29 45 10
12 14 37
56 54
42 41 43
15 33 43
12 7 43
56 23 43
38 22 43
53 37 6
11 51 43
45 1 43
53 14 43
33 3 43
4 41 43
19 22 43
46 7 43
16 39 43
29 6 43
8 45 43
6 29 43
10 7 43
22 30 43
26 41 43
53 36 43
13 14 43
44 46 43
1 46 43
16 34 43
16 18 43
14 10 43
51 50 50
39 18 43
8 22 43
27 23 43
29 41 49
7 17 43
52 7 43
7 41 43
35 44 35
4 42 43
47 1 1
38 28 43
54 44 43
53 2 43
11 27 43
36 5 43
30 25 43
54 6 43
33 37 43
50 44 43
47 18 43
56 25 43
5 1 43
11 56 43
43 32 43
46 9 43
49 6 43
25 102
11 24 6
14 3 6
21 14 6
13 16 4
21 6 6
6 22 6
1 24 6
21 8 4
5 25 4
10 9 4
22 16 4
22 23 4
17 1 17
8 7 4
12 21 6
13 14 4
18 4 4
2 8 4
19 20 4
18 3 4
18 12 4
2 13 4
7 8 4
12 16 4
12 20 6
18 5 4
7 6 4
8 9 4
11 24 6
7 2 4
6 1 6
18 1 4
24 15 6
5 10 4
16 12 4
24 15 6
11 8 4
9 6 4
24 23 4
16 12 4
10 4 4
11 20 6
21 14 6
4 15 4
7 11 4
21 14 6
17 21 6
3 21 6
20 10 4
16 1 4
13 17 4
13 8 4
17 19 4
24 10 4
23 18 4
14 11 17
10 5 4
2 14 17
23 19 4
15 21 6
17 19 4
24 3 6
16 11 4
25 22 4
13 23 4
9 2 4
2 18 4
17 5 17
3 20 6
17 11 17
18 20 4
16 11 4
20 13 4
19 25 19
15 7 4
12 22 6
1 16 4
17 22 6
14 16 4
22 1 6
25 22 4
2 24 6
14 8 4
6 14 6
4 21 4
14 15 6
7 19 4
22 17 6
10 24 4
21 6 6
15 18 4
9 16 4
14 8 4
14 1 17
19 11 4
24 11 6
23 15 4
16 11 4
16 18 4
13 16 4
2 25 4
1 6 6
12 9
1 5 7
11 2 6
9 4 12
8 12 6
10 1 7
4 3 12
3 10 6
8 11 8
2 5 10
30 111
25 21 29
7 21 29
14 20 30
19 6 29
25 23 27
3 9 29
11 7 29
15 16 30
7 16 30
5 24 30
23 19 29
21 7 29
2 19 29
8 3 30
10 29 29
15 30 30
15 16 30
16 22 30
27 14 29
18 8 30
4 18 29
21 4 29
22 16 30
5 2 29
20 15 30
29 25 29
11 15 19
6 10 29
19 16 30
12 5 30
17 1 30
26 7 29
28 9 9
20 28 30
20 6 16
5 17 30
26 1 30
8 6 30
22 23 30
23 19 29
20 17 30
11 6 29
6 10 29
18 19 19
2 4 29
21 20 30
29 21 29
24 26 30
7 12 30
17 2 1
12 16 30
11 26 8
29 5 29
29 27 29
12 11 30
17 24 30
29 13 29
21 6 29
15 24 30
25 29 29
17 25 30
21 13 29
28 1 30
9 12 12
24 5 30
11 7 29
14 6 29
4 24 30
3 7 29
4 11 29
19 29 29
29 10 29
10 15 29
21 22 30
30 20 30
20 7 30
27 4 29
27 9 18
13 19 29
22 30 30
21 10 9
14 15 29
17 13 30
19 10 9
9 8 10
15 21 29
6 27 29
27 3 29
27 26 27
3 25 29
3 4 29
17 27 30
5 30 30
23 24 30
20 30 30
2 27 27
25 26 25
11 13 29
22 3 30
1 9 30
26 15 27
23 10 29
3 25 19
13 23 27
24 12 30
25 21 29
29 7 29
7 8 30
15 30 30
25 20 30
4 10 29
5 98
5 2 1
1 5 1
5 4 4
1 2 1
2 5 1
3 4 4
2 4 4
5 4 4
1 2 1
4 5 4
4 3 4
2 5 1
4 1 4
1 2 1
2 5 1
1 2 1
1 4 4
4 2 4
5 2 1
1 2 1
1 5 1
4 2 4
5 3 1
1 2 1
2 4 4
3 4 4
5 3 1
3 1 1
4 5 4
4 2 4
3 1 1
1 3 1
3 5 1
3 5 1
5 4 4
1 5 1
4 2 4
2 4 4
1 5 1
3 2 1
4 1 4
5 4 4
3 1 1
4 1 4
4 5 4
3 5 1
3 1 1
3 5 1
3 4 4
3 2 1
4 2 4
5 3 1
2 4 4
1 4 3
1 5 1
5 2 1
1 4 4
2 4 4
3 1 1
4 1 4
4 1 4
4 5 4
4 1 4
1 3 1
4 2 4
1 5 1
2 5 1
1 3 1
4 2 4
2 1 1
4 1 4
4 1 4
2 5 1
1 2 1
1 4 4
5 1 1
5 2 1
3 4 4
1 2 1
2 1 1
2 3 1
1 2 1
5 3 1
4 1 4
1 5 1
1 3 1
3 1 1
2 3 1
3 5 1
1 3 1
2 4 4
5 3 1
5 3 1
4 1 4
2 1 1
2 5 1
1 5 1
4 2 4
44 104
12 43 39
2 24 8
32 12 39
16 10 39
24 14 8
32 11 15
1 32 39
37 9 39
6 20 39
4 35 28
36 28 39
36 27 27
13 19 8
31 8 8
16 11 8
9 26 18
13 30 39
22 13 39
4 17 18
33 42 5
18 10 39
14 24 8
40 1 1
2 12 8
8 15 8
32 5 39
43 20 39
41 43 10
22 23 39
4 20 8
8 16 8
10 7 39
6 17 39
14 43 39
25 38 39
34 40 8
22 37 39
18 22 39
11 24 8
3 35 39
37 41 39
25 9 39
32 37 39
4 31 28
5 27 39
7 16 8
27 18 9
3 28 39
14 33 34
3 24 39
10 30 29
24 6 39
44 21 39
32 10 29
19 44 8
23 15 15
32 36 29
39 30 39
13 14 8
24 26 8
24 2 8
44 15 8
36 34 39
44 1 28
22 5 39
5 31 9
9 10 39
18 43 29
23 26 8
41 3 29
36 33 39
34 26 8
31 5 28
8 30 39
14 36 39
28 22 39
6 27 27
26 12 18
33 9 8
34 1 8
26 38 18
40 13 8
1 34 8
4 13 8
16 1 8
39 9 39
42 9 39
44 28 28
19 5 8
4 10 39
43 44 39
13 5 12
31 19 8
2 44 8
17 33 8
33 29 39
23 9 8
41 17 39
41 21 41
19 37 39
20 39 39
39 34 39
8 14 8
31 5 28
15 49
11 8 9
1 11 10
13 9 9
7 5 9
9 2 9
13 2 12
14 10 10
6 12 10
4 8 9
11 15 10
15 8 10
2 9 9
6 4 10
6 10 10
1 6 1
4 3 12
8 1 10
1 12 10
15 7 10
10 2 10
11 12 9
6 15 10
10 9 10
5 12 12
5 1 10
11 3 10
12 10 10
12 11 9
15 4 10
3 15 10
5 8 12
9 14 10
5 13 12
1 9 10
10 15 10
2 3 10
11 7 9
1 5 10
3 8 10
8 12 12
7 2 9
14 3 3
7 8 9
15 3 10
9 10 10
9 8 9
11 15 10
9 7 9
13 10 10
49 105
12 36 31
2 24 24
20 13 31
23 4 31
22 25 9
33 6 31
31 41 31
26 48 12
23 41 12
11 28 31
23 48 37
33 6 31
44 32 24
42 19 31
4 43 18
43 5 31
40 25 31
17 24 24
30 49 30
47 23 31
7 25 31
9 37 24
43 16 24
31 8 31
11 15 31
16 30 24
29 4 31
22 6 31
14 15 24
36 9 24
22 38 31
12 11 31
2 26 31
36 26 31
9 48 24
42 23 31
5 43 31
16 38 24
35 9 24
4 45 18
30 5 12
47 39 31
6 48 31
36 6 31
23 30 30
5 42 31
14 12 24
28 49 31
28 42 31
3 37 31
14 28 24
26 42 31
29 12 12
21 49 31
42 17 6
31 9 24
43 20 31
33 26 31
1 21 1
31 5 31
18 21 31
28 45 31
12 40 12
2 32 24
30 48 12
10 2 31
46 6 31
41 19 12
2 46 31
7 26 31
32 24 24
26 23 30
9 30 24
41 49 12
32 19 24
20 18 31
39 21 31
21 38 31
47 14 24
22 43 31
42 22 31
13 9 24
48 26 12
44 28 31
49 28 31
36 26 31
17 35 31
26 20 31
18 47 31
27 34 31
18 14 24
17 39 31
29 30 12
13 38 31
43 16 24
8 39 31
21 11 31
16 25 24
43 41 31
39 37 31
48 29 12
43 8 31
4 12 31
30 36 31
46 21 31
60 120
14 31 47
42 55 6
22 26 47
6 32 15
29 49 47
57 15 15
48 41 47
35 44 15
20 40 39
56 25 37
38 49 15
28 51 15
39 56 15
7 13 47
10 56 15
37 10 15
33 28 47
11 41 11
31 15 15
8 48 47
48 49 47
56 54 15
19 42 47
32 11 47
31 10 15
47 1 47
53 45 15
30 27 15
12 38 15
28 3 15
43 25 15
46 17 47
52 11 47
40 15 15
17 58 17
25 40 15
53 7 53
27 23 47
23 10 47
4 6 47
59 38 47
2 10 15
42 59 47
23 47 47
57 13 47
56 30 15
58 41 47
54 48 47
45 16 15
56 58 15
56 60 60
46 24 46
19 52 47
37 36 6
57 5 55
35 54 35
44 9 47
3 31 15
4 53 47
15 40 15
12 28 37
56 5 37
58 27 15
25 32 15
59 8 47
7 5 28
60 25 37
33 18 47
38 8 47
45 30 39
3 42 15
26 55 47
18 6 15
43 9 47
46 17 47
50 30 15
59 1 47
38 13 47
3 19 47
35 41 47
26 55 47
25 13 47
6 4 47
16 52 6
51 26 47
57 12 37
51 50 15
11 60 47
30 26 47
1 57 15
12 16 37
42 49 15
47 29 47
22 60 37
12 2 6
58 43 58
8 54 47
34 20 15
57 3 15
27 10 15
25 20 15
2 21 47
4 27 47
46 40 47
54 22 15
1 36 15
25 43 15
60 13 47
10 57 15
9 25 47
25 30 15
52 7 6
4 33 47
55 49 15
48 10 47
34 27 55
42 43 15
29 30 47
24 36 47
28 58 15
32 85
22 12 7
6 19 7
11 16 7
25 3 7
5 17 7
8 13 7
17 14 7
28 11 7
13 5 7
9 8 7
29 22 8
3 27 7
24 14 7
27 10 7
22 5 7
14 2 2
31 27 7
24 10 7
20 31 7
8 11 7
26 15 25
32 18 25
31 19 25
15 8 7
8 23 7
5 27 7
20 8 7
31 10 25
26 1 7
28 11 7
19 14 32
27 9 7
23 27 7
18 26 26
20 10 7
6 21 7
18 16 25
28 13 7
22 31 7
7 13 7
21 6 7
21 15 15
11 29 7
7 21 7
11 12 7
32 2 32
31 6 7
29 8 8
2 29 7
24 6 7
10 6 7
26 10 25
11 20 7
30 29 8
2 32 32
19 30 7
1 31 7
16 4 7
32 19 32
7 31 7
25 26 25
13 15 7
10 19 12
10 15 25
6 4 7
18 4 7
6 3 6
31 5 5
4 23 7
5 17 7
9 2 7
25 29 7
21 27 7
28 17 7
30 32 7
26 15 25
8 10 7
22 19 7
23 32 32
15 17 7
20 28 7
26 8 7
22 24 22
11 31 7
19 15 25
33 118
29 5 32
32 19 2
7 33 2
14 21 26
26 31 2
4 30 7
24 9 2
18 1 2
1 10 2
19 6 2
28 24 2
21 29 14
28 30 7
32 4 12
28 31 2
32 10 2
24 9 2
25 33 19
28 9 7
16 20 16
28 7 7
19 21 2
9 33 2
31 29 2
4 5 32
19 24 31
12 18 12
9 7 7
16 4 7
9 23 17
12 3 2
32 25 2
4 25 2
33 9 2
5 25 2
23 22 2
3 18 2
24 32 2
23 2 2
15 32 7
33 18 19
2 16 2
22 29 2
20 6 2
11 1 16
25 6 2
13 26 2
3 24 2
33 28 2
3 21 2
15 33 2
20 28 20
20 19 2
19 24 25
33 12 19
10 17 2
31 16 2
32 1 2
19 13 19
30 28 7
25 7 2
28 16 16
15 29 7
28 23 7
16 29 7
27 23 7
21 24 2
7 17 7
27 7 7
27 1 2
33 22 13
1 33 2
25 4 2
8 29 17
13 23 2
1 2 2
4 21 7
12 19 10
19 26 2
10 20 2
16 1 2
26 15 7
29 32 32
26 1 2
10 13 13
33 6 2
15 14 7
31 5 2
10 20 2
28 14 23
30 16 7
17 1 2
23 8 17
20 32 7
24 14 2
12 16 31
29 23 7
10 18 23
12 29 2
10 11 31
23 8 17
22 10 13
16 17 7
11 26 2
29 18 2
17 16 5
6 22 2
12 17 2
23 1 2
26 15 7
4 23 7
7 33 2
32 19 2
33 15 2
9 11 20
5 9 7
9 30 17
5 7 7
6 78
2 4 3
1 5 5
5 6 5
1 3 3
4 1 1
1 2 3
3 4 3
2 1 3
3 6 3
6 5 6
3 6 3
5 3 6
5 2 5
3 6 3
5 4 5
3 1 6
5 6 5
2 3 3
1 4 1
3 1 3
1 2 4
6 1 3
5 6 5
1 3 3
6 1 5
5 1 5
6 4 3
6 2 2
2 5 5
4 2 3
4 2 3
3 4 3
4 3 3
5 4 5
6 1 3
6 5 5
1 2 3
6 5 5
6 5 5
2 6 2
3 1 3
6 3 3
6 3 3
4 5 5
6 1 3
5 2 5
3 4 3
6 1 3
4 5 5
6 1 3
5 4 5
2 4 3
1 6 3
6 4 3
4 5 5
2 3 3
6 1 3
1 6 3
3 5 5
5 6 5
3 2 3
5 1 5
4 3 3
3 1 3
2 4 3
3 4 3
5 3 5
2 5 5
6 3 3
2 3 3
4 3 3
5 2 5
2 1 3
2 3 3
2 1 5
3 6 3
2 1 3
4 1 1
41 88
10 25 10
24 26 39
1 16 16
2 4 16
5 34 34
12 19 34
8 1 34
36 15 16
33 36 3
20 9 16
8 13 34
30 40 40
6 19 34
16 33 16
20 25 16
41 4 3
9 41 3
15 7 16
4 19 34
19 40 40
33 24 3
38 31 13
35 26 39
31 22 16
11 20 34
4 32 39
19 21 34
39 27 34
27 35 34
34 9 34
1 2 16
5 35 3
25 13 16
14 9 39
35 4 3
24 25 16
31 36 3
10 40 34
4 7 16
37 6 16
38 36 3
23 20 16
3 17 3
36 17 3
30 8 34
25 9 16
18 25 16
8 37 34
21 29 21
23 31 16
13 38 13
34 11 34
26 38 39
21 16 16
33 1 3
5 19 34
21 6 6
40 17 34
9 34 34
37 7 16
24 38 38
3 30 34
14 6 16
37 4 3
11 27 34
20 38 16
11 8 34
10 1 16
2 40 34
37 27 34
30 8 34
21 16 16
22 1 16
37 30 34
38 37 3
8 39 34
16 30 34
36 41 3
38 29 16
26 31 39
3 25 16
40 21 34
11 4 34
32 10 16
20 39 16
35 6 16
1 5 3
26 17 39
43 52
40 31 37
40 21 37
10 41 25
24 6 7
27 25 37
31 13 37
5 16 25
19 26 25
8 11 37
33 21 37
29 2 2
36 34 37
23 22 23
11 33 37
8 33 33
33 4 37
5 27 37
23 10 37
2 40 37
3 17 25
3 15 25
38 32 25
30 2 2
3 9 25
38 26 25
40 37 37
23 12 37
35 31 37
20 36 37
41 9 25
19 3 25
3 40 37
15 41 25
37 7 37
40 29 37
14 1 25
10 41 25
23 6 37
24 27 37
9 18 37
25 7 25
32 10 10
22 1 37
1 40 37
25 27 37
29 6 25
13 42 37
40 43 37
5 41 25
43 9 25
5 15 25
21 27 37
60 120
55 42 25
45 22 25
46 6 4
1 11 25
30 33 25
35 5 25
25 20 25
25 23 25
43 51 4
37 58 9
34 49 9
19 34 45
27 6 4
35 48 4
47 36 25
17 30 25
1 59 25
23 21 25
49 48 4
60 6 4
58 8 4
51 47 25
17 5 17
8 50 4
32 19 4
56 25 25
17 25 25
3 10 25
34 57 9
17 45 25
60 26 25
13 27 25
31 20 4
26 24 25
42 35 4
46 4 4
8 27 4
21 9 25
12 30 4
60 35 35
2 60 4
32 6 32
52 58 9
38 19 25
34 14 25
29 47 25
7 57 7
5 38 17
54 56 4
12 4 4
29 30 4
29 35 4
53 3 25
47 22 25
41 54 25
52 24 4
11 44 25
16 38 17
43 9 9
37 4 4
56 18 25
46 36 36
43 13 25
30 13 25
4 10 4
27 29 9
46 14 25
53 42 25
33 2 25
58 60 4
33 15 25
9 41 25
42 1 4
49 23 9
47 43 25
9 57 9
17 60 25
8 58 4
23 52 9
7 4 4
48 35 4
51 34 4
42 48 4
25 21 25
31 51 4
13 39 25
13 53 13
27 21 25
54 42 4
38 40 55
59 42 25
44 56 4
53 30 25
41 8 25
28 22 25
5 11 25
16 17 17
11 3 25
50 59 25
25 33 25
38 2 25
4 59 25
1 19 4
32 50 4
54 13 25
9 52 9
3 39 25
26 46 25
28 42 25
18 48 25
7 2 2
41 6 25
32 4 4
22 35 25
28 20 25
7 3 25
47 58 25
21 34 25
8 20 8
51 5 25
6 76
6 4 6
1 3 1
4 2 1
3 5 3
3 2 1
3 5 3
2 6 1
2 3 1
3 6 6
4 5 4
4 1 1
5 3 3
3 1 1
1 6 1
6 4 6
5 6 6
6 1 1
1 2 1
5 4 4
5 4 4
5 4 4
2 5 1
3 6 6
2 6 1
3 1 1
2 4 1
3 5 3
5 2 1
3 6 6
6 5 6
3 2 1
6 5 6
2 4 1
6 1 1
3 1 1
6 5 6
4 1 1
5 2 1
6 5 6
6 3 6
3 5 3
6 2 1
2 4 1
1 5 1
1 4 1
6 2 1
4 6 6
4 6 6
5 3 3
2 4 1
1 5 1
6 4 6
4 5 4
4 1 1
5 3 3
6 2 1
6 3 6
4 2 1
2 1 1
1 5 1
2 4 1
3 1 1
6 4 6
6 4 6
2 3 1
4 2 1
4 2 1
6 5 6
3 6 6
2 5 1
4 6 6
6 2 1
4 2 1
1 2 1
5 6 6
1 5 1
