Case #1: Impossible
8 6 27206
16 31 28090
16 11 28676
20 38 28974
2 6 29065
17 2 29149
19 12 29210
1 20 29533
45 10 30582
35 1 30610
6 40 30723
42 15 30954
35 38 31169
23 34 31304
20 28 31353
38 6 31694
1 6 32253
36 34 32799
16 2 32843
28 35 33548
14 33 33806
27 35 33947
33 32 33965
6 28 34073
28 34 34196
20 23 34245
40 16 34501
25 40 35844
9 23 35904
1 16 36031
6 25 36191
16 34 36434
35 23 36440
34 38 36575
15 13 36767
6 23 36965
34 1 37134
36 9 37399
35 4 37419
8 11 37622
16 28 37851
36 35 37935
31 21 37953
6 36 38460
19 8 38792
9 28 38796
17 13 38883
30 9 39808
14 31 39847
4 27 40004
31 32 40006
14 24 40166
11 24 40197
6 34 40212
32 24 40325
14 11 40433
32 11 40592
16 23 40743
16 9 41034
38 9 41175
24 19 41367
10 40 41648
9 1 41734
16 36 42238
31 33 42583
32 8 42900
33 24 42902
45 42 43879
31 45 43969
8 33 44249
45 24 44288
23 8 44310
45 11 44555
6 9 44812
2 35 44830
7 43 45523
30 16 45630
16 10 45773
36 8 45805
39 33 46024
1 17 46291
38 17 46850
45 8 46863
23 24 46885
25 10 47116
45 18 47116
28 8 47202
38 14 47229
29 42 47312
33 2 47336
32 38 47388
27 2 47415
14 1 47788
32 1 47947
42 14 48001
42 32 48160
24 36 48380
2 45 48722
31 24 48943
33 40 48994
11 31 49210
17 28 49229
30 6 49408
38 8 49581
14 28 49608
28 32 49767
28 24 49777
38 33 49965
1 8 50140
33 1 50524
34 11 50628
4 2 50887
6 21 51076
17 21 51160
14 18 51238
38 45 51351
18 32 51397
20 11 51409
8 31 51518
34 19 51798
45 1 51910
19 14 51989
17 23 52121
19 32 52148
24 38 52156
33 28 52344
14 23 52500
11 39 52651
23 32 52659
24 1 52715
31 2 53377
17 36 53616
24 2 53696
45 28 53730
4 15 53912
2 11 53963
14 36 53995
32 36 54154
33 25 54462
35 13 54564
21 16 54854
27 9 55002
40 31 55035
11 9 55228
33 23 55236
21 26 55295
40 24 55354
40 11 55621
34 14 55747
32 34 55906
31 38 56006
22 19 56031
45 19 56111
19 9 56398
38 11 56592
45 23 56622
36 33 56731
13 27 57149
1 11 57151
33 34 57255
39 27 57677
40 8 57929
20 33 58036
45 36 58117
17 6 58214
11 28 58971
27 34 59602
40 2 59788
11 30 59824
35 20 60143
3 6 60291
9 14 60347
25 31 60503
32 9 60506
6 20 60668
38 2 60759
24 25 60822
30 19 60994
25 11 61089
23 31 61277
2 1 61318
3 27 61681
9 33 61855
11 23 61863
16 17 61992
14 30 62157
16 19 62220
32 30 62316
7 26 62662
36 31 62772
35 6 62863
40 1 62976
2 28 63138
40 42 63189
36 11 63358
8 25 63397
42 6 63536
3 16 64069
6 39 64295
20 16 64446
9 45 64469
31 34 64524
1 27 64557
28 40 64796
38 27 65116
25 2 65256
44 42 65764
19 6 65998
12 40 66011
2 23 66030
30 45 66279
31 10 66307
25 28 66370
18 40 66426
30 33 66451
30 23 66512
21 14 66611
24 10 66626
21 32 66770
18 6 66773
35 21 66841
10 11 66893
42 16 67314
27 28 67495
2 36 67525
23 40 67688
42 13 67721
35 34 67744
18 7 67764
38 25 67885
36 30 68007
1 4 68029
13 2 68032
16 39 68073
25 1 68444
4 38 68588
36 43 68645
25 42 68657
11 37 68678
9 31 69124
40 36 69183
10 8 69201
25 23 69262
2 34 69277
21 33 69347
30 28 69404
27 21 69426
18 9 69597
43 23 70140
9 20 70149
31 39 70264
27 23 70387
16 18 70551
12 24 70577
45 21 70733
27 11 70744
36 25 70757
40 34 70935
28 4 70967
2 10 71060
8 37 71417
38 30 71783
27 36 71882
18 25 71894
1 30 72342
35 9 72344
27 8 72608
19 25 72645
21 4 72898
21 9 72950
37 19 73070
17 9 73268
31 30 73528
10 38 73689
14 17 73749
23 4 73859
2 9 73877
17 32 73908
37 24 73992
18 34 74197
1 10 74248
31 3 74268
45 15 74833
27 24 75183
4 36 75354
38 43 75411
40 9 75535
17 15 75650
24 21 75707
20 17 75824
14 3 75826
17 39 75943
43 1 75970
11 21 75974
32 3 75985
10 28 76068
14 20 76203
20 32 76362
34 25 76403
6 27 76480
30 40 77345
33 27 77371
34 21 77550
18 10 77698
34 17 77868
45 17 77871
29 15 78266
8 21 78282
35 14 78398
10 19 78449
20 8 78555
32 35 78557
14 15 78955
23 10 78960
32 15 79114
35 41 79657
39 14 79830
17 3 79947
3 45 79948
4 6 79952
32 39 79989
27 16 80258
37 6 80322
45 20 80325
10 36 80455
8 35 80750
25 9 81003
12 34 81008
18 23 81013
20 24 81130
35 33 81134
14 12 81199
12 32 81358
21 40 81799
33 42 81807
10 34 82207
18 36 82508
35 45 82520
31 17 82526
38 21 82770
25 30 82813
17 24 82845
33 19 83041
19 23 83102
17 11 83112
35 24 83325
4 16 83730
18 28 83905
45 39 83952
16 37 84100
34 37 84423
19 36 84597
42 4 84866
3 24 84922
20 31 84980
33 18 85044
21 28 85149
13 1 85174
45 12 85321
8 17 85420
12 9 85608
13 38 85733
28 19 85994
3 8 86269
38 18 86284
9 10 86807
1 18 86843
35 31 87175
8 18 87203
21 25 87267
27 44 87465
44 2 87591
35 11 87761
31 42 87848
21 23 88041
28 13 88112
24 42 88167
24 39 88926
1 19 88932
17 40 88937
9 37 89023
3 2 89356
36 21 89536
20 2 89733
6 41 89880
21 13 90043
30 12 90204
8 39 90273
31 19 90310
42 8 90742
43 40 90853
18 42 90995
23 13 91004
3 40 91014
31 18 91085
45 29 91191
44 4 91320
35 15 91331
20 40 91391
12 16 91430
39 35 91624
11 18 91671
44 33 91724
35 44 91914
38 3 91985
14 27 92015
32 27 92174
13 36 92499
1 3 92544
22 40 92832
10 21 93071
26 31 93248
2 39 93360
40 35 93586
41 16 93658
15 27 93916
20 27 94090
40 15 94143
28 3 94364
17 25 94405
15 6 94490
30 27 94810
8 22 94823
9 4 95006
40 39 95018
19 2 95063
6 12 95208
38 42 95230
14 29 95313
29 32 95472
14 37 95575
3 35 95628
4 32 95646
32 37 95734
1 42 95789
18 2 95838
39 38 95989
45 27 96137
3 25 96482
39 1 96548
15 44 96718
20 25 96859
3 23 97256
22 24 97398
20 4 97562
42 28 97609
39 4 97681
26 24 98148
33 4 98223
15 16 98268
11 44 98351
39 28 98368
3 36 98751
35 25 99054
34 3 99275
34 4 99606
4 45 99609
37 45 99697
19 42 99990
3 20 100056
30 21 100484
25 39 100486
8 26 100723
30 20 100757
31 27 100792
16 13 100875
34 43 101444
4 3 101685
42 36 101996
12 37 102280
10 3 102286
20 10 102663
30 35 102952
19 18 103227
34 39 103279
4 25 103316
42 34 103748
9 3 103875
20 39 104060
37 3 104071
4 31 104264
4 24 104583
31 37 104634
2 15 104799
4 11 104850
35 10 104858
10 15 105415
14 41 105415
41 32 105574
11 12 105624
17 44 105731
14 43 106041
9 43 106044
32 43 106200
10 39 106290
26 6 106371
17 26 106455
35 43 106580
17 42 106604
6 43 107105
8 4 107158
17 30 107622
10 12 107659
34 22 107829
39 9 107879
22 14 108020
39 37 108075
32 22 108179
43 26 108185
21 39 108217
9 42 108348
44 13 108465
3 30 108471
37 2 109387
30 18 109405
41 45 109537
21 44 109602
44 45 109643
6 44 109995
16 26 110149
42 30 110158
43 45 110163
1 41 110267
29 40 110501
40 4 110675
38 41 110826
6 29 110848
43 16 110883
21 3 111367
27 19 111400
45 13 111600
21 20 111744
38 37 112016
22 6 112074
12 41 112111
22 45 112142
13 9 112151
12 33 112251
12 23 112312
9 22 112429
30 39 112475
37 1 112575
25 27 112671
33 15 112761
13 32 112791
44 29 113076
41 28 113205
43 18 113287
27 41 113604
34 26 113729
14 44 113765
16 44 113773
32 44 113924
36 7 114168
41 31 114192
28 37 114395
8 43 114450
24 41 114511
42 21 114612
29 16 114626
39 13 114826
7 45 114880
13 29 115033
28 12 115204
18 20 115258
23 7 115663
37 23 115727
22 16 115852
29 25 115969
23 41 116097
25 37 116231
34 13 116751
24 43 117025
21 19 117074
41 4 117076
19 20 117347
35 18 117453
38 12 117583
36 41 117592
39 41 117633
18 21 117849
21 7 117957
12 1 118142
28 7 118555
31 15 118802
3 13 118830
2 41 118945
14 7 119002
15 24 119121
7 32 119161
31 12 119520
19 35 119542
5 3 119962
20 37 120087
25 13 120461
41 40 120603
38 7 120934
31 13 121409
7 1 121493
8 15 121696
13 24 121728
10 29 121773
26 14 121906
17 7 121921
1 15 121941
4 10 121947
15 18 121949
13 11 121995
10 37 122035
32 26 122065
35 26 122136
35 42 122285
38 15 122500
44 1 122524
30 26 122925
38 44 123083
42 3 123827
39 5 123966
26 11 124082
42 20 124204
17 19 124212
12 2 124273
13 8 124303
27 18 124599
26 27 124721
42 27 124870
28 15 124879
17 18 124987
19 3 125061
33 43 125376
28 44 125462
45 26 126028
41 25 126071
25 43 126697
15 21 126810
18 3 127064
19 43 127654
15 23 127771
40 13 127820
39 42 127831
26 4 128193
44 23 128354
22 25 128676
41 34 128864
19 39 129065
22 37 129101
33 29 129119
12 42 129200
36 15 129266
4 30 129360
20 41 129645
36 44 129849
22 33 130345
18 26 130426
19 15 130944
18 39 131068
37 21 131398
31 43 131417
10 41 131875
11 43 132003
4 29 132178
43 10 132501
9 41 133464
41 37 133660
44 3 133744
7 40 134190
31 44 134307
13 30 134343
25 44 134421
22 10 134480
7 6 134537
24 44 134626
34 15 134702
29 31 135160
24 29 135479
11 29 135746
44 8 135973
43 2 136170
31 22 136386
43 30 136652
40 26 137094
44 39 137748
37 35 137881
29 8 138054
41 30 138060
38 26 138065
18 29 138307
16 7 138315
17 37 138536
26 1 138624
13 10 139092
23 22 139133
9 15 139302
27 37 139422
26 19 139515
29 2 139913
7 2 139968
27 7 140187
10 44 140225
28 26 140444
39 29 140487
27 43 140527
27 12 140610
36 22 140628
21 41 140956
30 15 141112
2 22 141139
41 19 141321
1 5 141582
7 34 141961
28 22 142025
44 37 142103
5 38 142141
44 9 142467
29 38 142542
25 26 142562
1 29 143101
23 26 143336
37 42 143576
4 7 143659
38 22 143768
43 12 143976
4 43 143999
28 5 144520
26 36 144831
29 28 144921
13 26 145338
7 10 145462
4 19 145950
21 12 146284
20 12 146557
18 4 146725
44 34 146819
19 29 147302
3 26 147407
23 5 147412
29 23 147813
26 10 148366
12 35 148752
5 36 148907
36 29 149308
20 44 149760
20 7 149908
34 29 151060
20 15 151474
39 15 151593
33 7 152808
41 42 153416
17 12 153422
24 7 153445
17 29 153916
43 42 154042
3 12 154271
3 15 154781
7 8 154967
29 9 155660
31 7 155910
42 22 156021
18 41 156653
18 44 156759
7 3 157378
44 30 158175
12 39 158275
13 18 158716
7 42 158759
22 18 159258
11 7 159435
12 15 160154
13 7 160804
43 13 161144
29 21 161924
5 33 161982
22 21 163150
44 41 163333
26 44 164897
35 22 164947
19 44 165754
26 20 167039
43 3 167396
27 22 167431
11 5 168609
12 26 168725
35 29 169597
42 26 169907
17 22 170288
43 22 170797
15 41 170988
7 19 170991
43 37 171240
29 20 171516
37 26 172140
29 27 172182
5 35 172192
3 22 172365
22 20 172742
6 5 173835
37 15 174530
12 4 175160
8 5 176241
22 39 176369
12 29 176512
30 7 177169
13 37 177419
34 5 178716
24 5 178816
44 7 180191
5 27 181643
15 26 182105
9 5 183316
15 43 184996
41 7 185897
41 43 186237
15 22 186975
17 5 187873
5 14 189370
12 7 189499
32 5 189529
29 37 190888
22 4 192026
13 12 192305
45 5 193492
5 31 194230
19 5 194636
44 12 194964
26 22 195546
26 41 196251
30 5 198443
44 43 198494
41 29 200728
43 29 201354
2 5 202900
29 22 203333
5 40 204558
29 7 206071
22 13 209171
5 4 209611
5 25 210026
37 7 214577
7 22 216320
26 29 217219
43 5 217552
22 44 221785
5 12 223846
37 5 224033
21 5 224911
13 5 226756
18 5 228425
41 5 233591
42 5 237371
5 22 250667
5 44 253706
5 29 256445
7 5 263075
5 15 263523
26 5 267369
Case #102: 305
26 24 7029
22 27 10742
6 19 12517
25 6 18035
6 21 18046
5 21 21526
14 19 24709
16 25 27157
21 16 27168
27 24 27336
16 7 27826
25 19 30552
13 24 31294
1 19 31496
1 22 32169
23 14 34201
4 5 34899
25 21 36081
7 6 36948
14 6 37226
23 12 37833
24 22 38078
1 27 42911
1 6 44013
26 22 45107
12 7 46232
16 14 46348
5 16 48694
7 19 49465
2 15 49679
5 19 52089
1 16 53135
14 17 54850
25 7 54983
7 21 54994
25 14 55261
21 14 55272
1 14 56205
21 4 56425
5 25 57607
13 27 58630
23 19 58910
26 12 60165
1 25 62048
1 21 62059
2 10 62608
19 22 63665
17 10 64940
12 24 67194
24 1 70247
23 6 71427
14 12 72034
7 14 74174
27 19 74407
4 6 74471
18 10 76505
7 5 76520
14 5 76798
26 1 77276
17 19 79559
23 16 80549
1 7 80961
7 4 83123
12 6 83180
5 1 83585
16 4 83593
5 15 83935
7 23 84065
13 12 84430
16 22 85304
27 6 86924
4 19 86988
14 22 88374
23 25 89462
23 21 89473
3 27 90149
23 1 90406
4 25 92506
25 22 94217
22 21 94228
27 12 94530
12 19 95697
27 16 96046
23 26 97998
14 27 99116
17 16 101198
25 12 101215
12 21 101226
13 1 101541
24 19 101743
5 26 102654
27 25 104959
21 27 104970
23 24 105027
20 11 105214
22 12 105272
26 7 106397
10 4 107848
19 26 108772
5 24 109683
25 17 110111
21 17 110122
23 5 110999
1 17 111055
4 14 111697
6 10 112521
7 22 113130
7 24 113426
6 24 114260
4 12 114287
3 24 117485
1 4 118484
15 4 118834
10 14 119790
6 26 121289
10 16 121643
7 3 122192
22 23 122575
5 12 122752
24 16 123382
15 6 123507
27 7 123872
26 3 124514
10 19 125038
16 13 125057
14 24 126452
27 5 126496
17 12 126884
13 5 126919
1 12 127193
2 17 127548
27 18 128363
26 16 130411
7 13 130662
24 21 131209
5 17 131648
15 25 132060
14 26 132199
25 24 132295
23 27 132363
15 16 132629
13 19 133037
1 3 133060
5 2 133614
13 6 134179
19 15 136024
26 4 137553
22 18 139105
18 2 139113
26 25 139324
14 13 140846
17 18 141445
15 7 142686
22 17 143224
4 24 144582
4 23 145898
1 11 146319
20 27 147205
26 20 147936
3 13 148779
18 5 149454
7 10 149469
16 3 150018
22 4 150653
25 13 152214
27 17 153966
23 10 153991
24 20 154965
21 2 155140
18 24 155699
10 1 156534
22 20 157947
6 3 159140
15 14 160733
4 27 161395
4 13 161818
18 19 162708
18 26 162728
19 3 164556
4 17 166547
3 12 168424
4 2 168513
21 18 170980
20 13 172201
2 6 173186
20 25 173703
4 9 174990
24 17 175181
6 18 175225
15 26 175442
3 25 177175
3 21 177186
17 15 177227
19 11 177815
11 22 178488
18 7 179119
2 25 181739
26 17 182210
2 16 182308
2 14 182398
24 15 182471
24 10 182632
18 16 184347
4 18 184353
2 19 185703
23 15 185946
18 13 186993
18 14 187417
22 10 188703
15 18 188792
14 3 189265
1 20 189478
6 11 190332
6 20 191738
10 12 191824
2 7 192365
25 18 193260
17 13 195696
2 12 197792
5 3 198712
11 16 199454
22 15 199689
15 13 199707
13 10 199868
16 20 200860
14 11 202524
20 19 204255
3 4 205315
3 23 206257
20 12 208101
11 25 208367
11 21 208378
20 21 209784
27 15 209807
5 9 209889
10 20 211394
4 11 214065
21 9 215660
24 11 216566
23 2 216599
2 1 217199
18 3 218512
24 8 219059
18 23 221618
12 18 222893
26 11 223595
8 13 224201
26 2 225121
8 26 226088
7 11 227280
7 20 228686
5 11 229904
5 20 231310
2 24 232150
6 9 233706
20 23 235505
15 3 235755
23 11 236725
20 3 237354
8 22 243634
3 17 244115
19 9 246223
27 8 246395
13 11 247860
22 2 249368
13 2 249386
7 9 258113
2 27 259486
4 20 266209
9 14 270932
3 10 271661
11 12 273512
2 20 274002
1 8 275803
1 9 277719
9 10 282838
8 12 286253
12 9 289277
9 15 293824
11 10 300220
9 23 305133
15 20 305763
8 19 307299
26 9 312543
9 24 319572
8 6 319816
27 9 320630
23 8 324086
9 17 325782
8 5 328742
8 16 328938
8 7 332485
8 3 336544
13 9 336808
25 8 337851
2 9 343503
18 9 359343
11 2 362828
8 4 363641
11 9 370649
20 8 374024
11 8 416162
20 9 425444
2 8 451209
8 9 538631
Case #103: 484
46 41 389
30 47 3488
50 6 4429
30 27 4549
17 20 5556
2 27 6397
44 26 9897
30 2 10946
22 29 13298
50 25 14113
29 30 17773
20 50 19094
26 12 19309
22 28 25362
47 50 25928
6 17 29079
12 44 29206
47 6 30357
5 14 30497
2 26 33134
25 20 33207
46 27 33385
46 22 33459
41 27 33774
41 22 33848
50 27 33965
45 34 34417
9 48 35482
13 23 36343
22 44 36560
40 21 38490
25 17 38763
39 20 38982
27 26 39531
12 21 39932
26 29 39961
13 9 40211
50 2 40362
47 46 41422
21 30 41567
25 5 42679
30 25 43529
23 42 44074
30 26 44080
13 41 44485
23 16 44819
20 47 45022
12 22 45972
20 12 46089
21 27 46116
41 28 46268
38 22 46403
50 29 47189
27 25 48078
17 2 48391
20 30 48510
40 49 49534
44 29 49858
40 45 50230
29 6 51618
26 28 52025
45 27 52094
43 30 52182
21 2 52513
45 29 52524
17 5 53216
48 11 53309
44 30 53977
17 30 54066
34 21 54303
33 10 54407
17 27 54788
22 17 54862
29 17 55218
5 31 55727
31 26 55977
38 40 55995
27 43 56731
39 50 58076
27 12 58840
50 9 58886
26 21 59241
28 50 59253
29 21 59340
17 26 59842
26 46 60122
20 22 60418
20 29 60774
25 29 61302
30 32 61788
27 24 62678
32 22 62775
6 28 63682
9 3 64038
28 45 64588
17 48 64873
26 20 65398
14 8 65698
44 31 65874
36 9 66607
12 47 66877
39 36 67174
38 41 67309
13 48 67957
34 48 68035
44 21 69138
39 23 69558
41 44 69559
43 22 69599
6 12 69612
44 17 69739
47 24 70715
7 2 70768
50 21 70983
22 14 71550
6 46 71779
46 48 71829
39 25 72189
20 28 72838
42 3 72952
32 7 73096
50 26 73496
23 32 74127
32 26 75410
5 36 75852
4 32 76133
7 27 77165
49 10 77239
7 22 77239
26 39 77346
25 8 77880
9 20 77980
43 40 78325
43 12 79767
41 21 79890
17 21 80465
1 22 80496
41 23 80828
16 13 81162
23 46 81217
36 27 81251
28 43 81433
41 25 81852
2 10 82007
36 2 82139
31 15 82576
22 31 82640
24 41 82809
24 17 82989
44 50 83393
9 17 83536
40 47 83545
40 48 83848
23 30 84434
15 30 84669
9 41 84696
21 25 85096
47 7 85202
32 44 85307
3 2 85495
45 50 86059
27 34 86511
39 5 86642
34 29 86941
10 46 87128
39 30 87492
41 10 87517
7 38 87675
44 6 87822
32 3 87823
27 10 88404
36 22 88610
32 6 88657
42 16 88893
27 23 88983
4 34 89048
46 43 90116
50 10 90435
15 38 90630
2 40 91003
34 30 91060
50 13 91361
48 3 91784
3 27 91892
39 27 92041
12 38 92375
14 41 92456
25 48 92524
28 15 92614
27 9 92851
30 10 92953
30 8 93183
5 12 93749
43 34 94138
25 38 94407
47 34 94548
2 23 95380
11 32 95822
44 25 96105
5 41 96305
45 15 96395
30 3 96441
24 50 96643
42 19 97338
40 22 97474
8 27 97732
24 32 98557
13 36 99082
9 2 99248
20 45 99644
23 34 99649
29 39 99756
3 47 99929
20 43 100692
3 28 100779
28 36 101030
24 6 101072
29 23 101378
1 25 101744
23 22 101851
38 13 102452
38 43 103060
36 41 103343
32 21 103355
44 36 103487
9 34 103517
6 42 103521
37 33 103819
32 39 103955
32 17 104695
21 14 104798
3 16 104989
26 13 104996
15 3 105242
4 46 105449
25 13 105474
38 49 105529
4 41 105838
44 43 106159
40 44 106427
39 16 106641
42 36 106813
41 34 107491
39 1 107519
19 50 108282
4 50 108756
43 45 108825
40 50 109473
50 7 111130
33 32 112219
6 4 113185
19 3 113434
6 40 113902
32 43 113970
13 44 114044
14 23 114081
50 15 114085
21 36 114213
5 45 114625
7 37 116015
36 24 116737
1 44 117056
39 14 117139
14 12 117522
26 48 117923
14 9 117949
46 40 117991
11 17 118182
20 42 118186
42 32 118201
6 15 118514
15 48 118564
20 16 118931
43 24 119409
7 49 119599
40 24 119677
45 1 119722
11 34 121344
24 14 121360
15 17 122114
44 34 122240
19 39 122822
36 3 122909
7 12 123211
7 21 123281
42 17 123742
13 12 124305
40 20 124511
7 20 124715
21 39 125003
42 46 125291
11 41 125527
21 23 126001
16 46 126036
12 15 126166
7 24 126200
15 21 126236
1 14 126310
32 40 126361
23 15 127174
19 32 127391
20 4 127850
7 34 127857
12 49 127956
15 25 128198
16 5 128403
23 26 128514
11 42 128997
24 15 129155
30 16 129253
49 30 129591
9 21 129869
33 25 130729
15 34 130812
36 10 131450
31 36 131579
49 33 131646
38 39 132861
19 17 132932
27 42 133057
47 49 133079
39 31 133323
4 17 133406
27 16 133802
7 43 133896
19 47 134210
20 3 134282
13 43 134990
47 33 135101
23 38 135312
24 34 135490
7 14 135847
33 2 136414
23 43 136616
15 43 136851
11 40 137157
26 8 137263
5 4 137322
21 3 138008
40 5 138039
44 23 138411
30 33 138589
39 45 138626
38 9 139180
23 31 139311
42 2 139454
2 16 140199
24 48 141070
46 33 141535
33 41 141924
8 48 142178
9 44 142279
19 45 142621
23 1 142649
40 1 143136
4 21 143351
7 40 143670
3 5 143754
14 11 144379
16 34 144468
11 3 145093
43 10 145135
11 25 145833
22 42 145925
9 1 146517
15 40 146625
44 8 147160
29 37 147493
8 32 147995
3 43 148623
4 36 149771
23 4 150260
18 45 150542
15 4 151026
18 44 151268
11 2 152126
10 11 153634
4 9 154128
1 34 154139
37 28 154701
22 19 155115
8 13 155128
11 45 155761
24 42 156091
24 4 156609
11 30 157610
27 11 158523
41 37 159406
42 40 159536
46 37 159795
40 16 160281
8 24 160410
37 27 160717
31 13 160973
11 8 160986
18 26 161165
33 39 162852
8 42 162859
1 31 163136
4 43 163456
7 39 163697
20 33 163936
18 24 164518
37 30 165266
39 34 166334
49 14 166708
18 2 167827
49 17 168489
47 37 168754
33 26 169548
7 8 170549
21 16 170820
11 28 171017
10 31 171118
26 16 173333
12 19 173465
18 22 173709
18 43 178637
18 12 178734
8 3 178955
33 44 179445
16 38 180131
18 28 180400
11 1 181163
16 43 181435
26 19 181778
18 47 182261
16 44 183230
49 11 186691
42 1 186723
19 43 189880
40 37 191655
44 19 191675
24 33 192695
37 43 193000
19 1 195913
37 44 197351
6 37 199111
49 13 201339
33 1 201668
37 17 202711
13 37 203891
18 50 208189
49 42 209070
35 14 211676
18 6 212618
39 49 213027
18 36 215285
23 18 215774
18 9 219642
49 8 222774
32 18 224131
48 37 231624
37 36 235613
18 5 236755
39 18 238511
7 18 238595
13 18 239689
18 33 241259
35 5 242173
18 3 247657
37 8 258449
18 8 271956
35 25 272108
35 30 274907
9 35 278507
22 35 283226
11 37 284933
20 35 289833
1 35 290207
35 49 294294
17 35 295389
35 28 295646
31 35 297900
10 35 301145
35 26 309889
13 35 310982
16 35 319458
7 35 320289
35 39 328815
35 12 329198
35 24 333036
35 40 343828
35 11 356055
Case #104: 426
10 24 19
22 24 4184
10 22 4203
3 11 4313
20 11 6332
34 22 12595
39 37 12829
7 10 13988
37 24 15133
26 18 15780
9 37 17935
22 7 18153
10 27 22037
34 7 22380
17 37 22600
37 34 23506
11 16 25019
14 3 25415
14 20 27434
24 39 27962
3 16 29332
21 11 29524
9 10 33049
24 9 33068
3 21 33837
15 6 36126
27 37 37151
26 24 40424
10 26 40443
17 9 40535
9 34 41441
22 17 41917
39 7 41931
20 5 44377
34 17 46106
3 6 46454
22 12 46521
9 7 47037
17 18 47416
26 19 47800
22 4 48252
6 20 48473
26 34 48835
15 14 48973
39 27 49980
14 21 50626
18 22 52020
34 4 52441
18 29 52712
7 26 54393
21 16 54543
3 7 54609
27 9 55086
37 26 55557
3 4 56395
20 24 57933
7 4 58037
34 12 59116
4 37 59163
38 7 59671
11 4 60708
31 15 61483
25 30 61622
20 22 62117
16 5 63064
9 5 63341
8 13 63782
21 37 64147
6 39 64351
34 18 64615
7 12 64674
12 37 65838
34 20 66344
4 20 67040
6 16 67160
20 28 68200
14 10 68237
14 24 68256
39 26 68386
11 22 68449
24 3 68578
10 3 68597
37 18 70016
18 7 70173
14 7 71398
6 27 71528
20 15 71896
26 30 71911
39 4 71992
22 14 72440
12 27 72761
20 37 73066
26 9 73492
38 39 73664
25 28 74735
16 24 76620
14 34 76629
39 21 76976
34 3 76989
37 6 77180
29 24 77356
20 27 77923
27 18 78260
39 12 78667
21 24 79280
21 7 79820
14 9 80284
16 22 80804
4 17 81763
14 4 81810
9 21 82082
26 12 82761
37 14 83351
19 22 84040
29 19 84732
34 16 85031
5 24 85199
34 29 85767
29 28 85786
20 39 85895
31 29 86089
16 28 86887
19 24 87382
34 21 87653
38 12 88039
7 5 88341
6 10 89276
6 24 89295
22 25 89342
22 5 89383
4 21 90232
1 24 90924
20 9 91001
7 29 91325
16 37 91753
6 7 92437
18 8 93220
5 31 93513
38 18 93538
34 19 95755
39 3 96540
23 22 97032
16 33 97315
9 11 97333
6 34 97668
25 26 97839
20 26 98357
27 15 99462
25 37 100224
18 4 100272
3 9 101646
17 11 101998
19 37 102477
11 26 102711
6 4 102849
17 30 103547
20 38 103635
39 8 104426
1 7 104893
29 39 105318
37 1 106019
17 3 106311
10 8 106711
24 8 106730
27 25 107176
20 12 108638
14 26 108680
30 29 108843
34 23 109627
16 9 109688
9 29 110424
1 26 110518
19 17 110996
30 24 112335
7 31 112519
8 15 113188
15 37 113306
25 18 113619
13 20 113915
38 14 113958
18 3 114178
8 17 114197
38 3 114280
17 16 114353
38 29 114690
2 37 114845
12 11 114970
8 34 115103
23 7 115185
39 19 115306
14 19 115815
10 15 117210
15 24 117229
1 39 118848
12 14 118961
12 29 119693
19 30 119711
9 19 120412
8 7 120699
34 28 121536
38 16 122322
33 11 122334
27 23 123272
9 1 123954
14 18 124460
15 34 125602
5 26 125623
28 24 126133
30 37 126147
30 7 126304
3 33 126647
39 2 127674
13 14 128685
12 21 129985
28 22 130317
12 19 130561
22 31 130672
4 15 130783
25 38 130860
4 19 131412
18 16 132824
26 23 133272
20 31 133379
2 22 134162
18 21 134163
23 9 134284
27 30 134391
25 29 134771
30 3 134816
31 34 134899
4 1 134954
38 6 134997
28 4 135240
25 12 135863
31 3 135871
5 12 135904
13 21 137107
17 2 137445
28 18 138498
39 30 138976
6 1 140396
3 19 141230
18 5 141403
12 1 141629
19 15 142828
25 20 142935
14 33 143436
7 2 143947
23 4 145284
8 14 145455
16 2 145482
18 6 145499
14 29 145612
5 13 145628
19 25 145639
28 27 146123
1 20 146791
29 15 147572
18 23 149052
25 11 149267
38 30 149669
6 13 149724
35 16 149851
24 33 150589
4 8 150760
30 1 150869
25 3 153580
28 39 154095
39 31 154450
22 33 154773
13 37 155379
30 16 155522
8 21 155744
4 30 156403
21 29 156636
31 9 156854
20 2 156928
13 18 157002
8 12 157435
13 7 157879
27 13 158748
34 33 158962
23 20 159149
5 33 160379
35 18 160737
25 16 161622
19 16 161936
29 5 162555
15 38 162931
8 1 163834
28 17 163866
20 8 164663
21 19 166441
13 39 168208
15 1 168330
5 30 168548
23 14 169472
23 3 169794
21 1 169983
23 29 170204
25 5 170319
24 13 170512
19 28 170518
33 32 171046
31 38 172190
33 27 172607
6 30 172644
13 9 173314
18 15 173433
2 4 174008
25 6 174415
11 35 174870
8 25 175279
25 1 176044
35 26 176517
12 31 177193
13 17 177979
29 13 178154
35 15 178418
3 35 179183
2 14 179302
36 12 181664
28 13 182115
4 33 183042
2 18 184861
23 25 186374
15 33 187898
25 31 190587
33 26 191013
2 6 192025
1 23 192140
32 1 195056
14 35 195972
33 38 196291
8 28 200158
36 39 200187
15 25 202349
21 35 204394
35 10 205053
23 30 205183
36 9 205293
2 8 206442
8 23 207946
35 17 208153
5 35 210448
37 36 213016
6 35 214544
35 23 214846
1 28 214991
25 2 215069
30 35 216868
